countyCode,lossOnly,hyperCount,disasterCount,totalMultiLossProp,countUncluster,Risk_Score,Risk_Category
26023,-0.0,0.0,0.0,6.0,14.0,0.14739641994233113,lower
51031,-0.0,0.0,10.0,2.0,21.0,0.2344163483770204,lower
39105,-0.0,39.0,187.0,54.0,42.0,0.8025487066624208,medium
54067,15065.914117460925,0.0,1099.0,18.0,33.0,1.238337467808389,higher
40053,1715.485782592541,0.0,0.0,0.0,5.0,0.6201216269463905,medium
46115,29009.088395584004,0.0,251.0,8.0,26.0,1.192544041682122,medium
50027,-0.0,227.0,986.0,19.0,53.0,1.0023292234932368,medium
48455,74937.97628781198,11.0,1255.0,32.0,52.0,1.6189290126397442,higher
35001,-0.0,0.0,0.0,2.0,63.0,0.1634642970457275,lower
13205,-0.0,0.0,514.0,11.0,28.0,0.45505796604610427,lower
21147,-0.0,0.0,0.0,0.0,1.0,0.021149791486864335,lowest
21191,-0.0,0.0,25.0,1.0,11.0,0.23956745980448446,lower
21215,-0.0,0.0,10.0,8.0,48.0,0.29541579004988594,lower
30041,-0.0,0.0,0.0,1.0,11.0,0.0988915016311803,lowest
31175,3463.867265695063,0.0,0.0,1.0,8.0,0.7088891734995001,medium
24043,-0.0,0.0,16.0,68.0,54.0,0.38553062679634853,lower
21133,-0.0,0.0,179.0,9.0,18.0,0.39069872252196003,lower
34033,-0.0,171.0,788.0,69.0,89.0,1.0248597206003656,medium
05125,-0.0,0.0,310.0,54.0,65.0,0.5090443521345307,medium
54053,-0.0,8.0,279.0,25.0,37.0,0.6582817780209189,medium
54021,63104.319790499314,0.0,122.0,74.0,33.0,1.2981804089664284,higher
28063,21804.003509303337,0.0,1002.0,18.0,46.0,1.2722938921911624,higher
38079,2240.971794004568,0.0,137.0,0.0,2.0,0.8319938666939742,medium
21049,-0.0,0.0,113.0,48.0,41.0,0.448075860382261,lower
26005,-0.0,0.0,0.0,3.0,36.0,0.1563194369536593,lower
47005,-0.0,0.0,117.0,2.0,14.0,0.3251809653530677,lower
27015,-0.0,0.0,0.0,3.0,17.0,0.1343336287914418,lower
18145,-0.0,0.0,303.0,51.0,53.0,0.5000715582415528,medium
39049,-0.0,0.0,1115.0,116.0,173.0,0.6189153085512806,medium
49021,-0.0,0.0,0.0,1.0,17.0,0.1112633365571443,lowest
49039,-0.0,0.0,0.0,0.0,5.0,0.054671417905625685,lowest
20093,-0.0,0.0,0.0,0.0,1.0,0.021149791486864335,lowest
12009,-0.0,622.0,67224.0,354.0,199.0,1.4097366844869894,higher
18105,-0.0,0.0,199.0,16.0,26.0,0.42363111823420363,lower
19117,-0.0,0.0,114.0,0.0,5.0,0.259544989297001,lower
21239,-0.0,0.0,121.0,67.0,28.0,0.45060970578790294,lower
45053,-0.0,20.0,175.0,17.0,38.0,0.7021974286239584,medium
48043,-0.0,0.0,0.0,0.0,8.0,0.06704325283074211,lowest
45065,-0.0,0.0,0.0,0.0,1.0,0.021149791486864335,lowest
45087,1730.427407606625,0.0,0.0,0.0,1.0,0.5872580020880718,medium
27103,-0.0,0.0,0.0,5.0,40.0,0.17294694812978315,lower
55075,-0.0,0.0,0.0,0.0,11.0,0.07582120940520364,lowest
53011,-0.0,0.0,33.0,11.0,29.0,0.3387447304003144,lower
55099,-0.0,0.0,0.0,0.0,4.0,0.049108295065373835,lowest
18103,-0.0,0.0,138.0,3.0,22.0,0.3548704599333501,lower
20053,-0.0,0.0,46.0,0.0,7.0,0.22968852567752238,lower
22123,18233.458123929362,0.0,429.0,6.0,27.0,1.1731095072646691,medium
12077,-0.0,0.0,474.0,0.0,6.0,0.32549054074634937,lower
21149,-0.0,0.0,54.0,5.0,22.0,0.3283342398525113,lower
28001,29511.954264836895,0.0,1995.0,23.0,67.0,1.3440320641398469,higher
28057,-0.0,0.0,51.0,0.0,3.0,0.21290379609387158,lower
21073,371681.52421457623,0.0,104.0,175.0,65.0,1.4746011286421565,higher
23009,-0.0,0.0,0.0,1.0,32.0,0.12975817607534354,lower
23013,-0.0,0.0,29.0,1.0,36.0,0.2801038173858848,lower
